coin_id,name,symbol,price_usd,last_updated
binance-staked-sol,Binance Staked SOL,bnsol,135.12,2025-12-28T05:56:03.840Z
ondo-finance,Ondo,ondo,0.387785,2025-12-28T05:56:03.897Z
rocket-pool-eth,Rocket Pool ETH,reth,3384.41,2025-12-28T05:56:03.728Z
gatechain-token,Gate,gt,10.36,2025-12-28T05:56:03.793Z
kaspa,Kaspa,kas,0.04491717,2025-12-28T05:56:08.487Z
wbnb,Wrapped BNB,wbnb,843.04,2025-12-28T05:56:04.404Z
polygon-ecosystem-token,POL (ex-MATIC),pol,0.10767,2025-12-28T05:56:03.989Z
arbitrum,Arbitrum,arb,0.197448,2025-12-28T05:56:04.166Z
pump-fun,Pump.fun,pump,0.00185637,2025-12-28T05:56:04.077Z
kelp-dao-restaked-eth,Kelp DAO Restaked ETH,rseth,3115.81,2025-12-28T05:56:03.834Z
quant-network,Quant,qnt,74.52,2025-12-28T05:56:04.263Z
algorand,Algorand,algo,0.120238,2025-12-28T05:56:03.962Z
janus-henderson-anemoy-aaa-clo-fund,Janus Henderson Anemoy AAA CLO Fund,jaaa,1.019,2025-12-28T05:55:06.795Z
cosmos,Cosmos Hub,atom,2.09,2025-12-28T05:56:04.393Z
official-trump,Official Trump,trump,4.96,2025-12-28T05:56:03.952Z
vechain,VeChain,vet,0.01136241,2025-12-28T05:56:04.109Z
ignition-fbtc,Function FBTC,fbtc,87962,2025-12-28T05:56:04.049Z
filecoin,Filecoin,fil,1.32,2025-12-28T05:56:03.946Z
lombard-staked-btc,Lombard Staked BTC,lbtc,87830,2025-12-28T05:56:03.976Z
